categories,type,short_name,full_name,full_name2
op char trd,decarbonization policy,prm15_wcost_re9_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E126 7000 Single-Axis,trd_cut90_enercon7_1axis
op char trd,decarbonization policy,prm15_wcost_re10_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E101 3000 Single-Axis,trd_cut90_enercon3_1axis
op char trd,decarbonization policy,prm15_wcost_re11_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 2000 Fixed,trd_cut90_vestas2_fixed
op char trd,decarbonization policy,prm15_wcost_re12_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V164 7000 Fixed,trd_cut90_vestas7_fixed
op char trd,decarbonization policy,prm15_wcost_re13_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 3000 Fixed,trd_cut90_vestas3_fixed
op char trd,decarbonization policy,prm15_wcost_re14_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,trd_cut90_siemens36_fixed
op char trd,decarbonization policy,prm15_wcost_re15_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,trd_cut90_siemens23_fixed
op char trd,decarbonization policy,prm15_wcost_re16_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 2.5xl Fixed,trd_cut90_ge25_fixed
op char trd,decarbonization policy,prm15_wcost_re17_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 1.5sle Fixed,trd_cut90_ge15_fixed
op char trd,decarbonization policy,prm15_wcost_re18_c2p1_co2_cut90p_t1,Trade Emission cut 90% Gamesa G80 2000 Fixed,trd_cut90_gamesa2_fixed
op char trd,decarbonization policy,prm15_wcost_re19_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E126 7000 Fixed,trd_cut90_enercon7_fixed
op char trd,decarbonization policy,prm15_wcost_re20_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E101 3000 Fixed,trd_cut90_enercon3_fixed
