period,load_zone,Battery,Biomass,Coal,Curtailment,Diesel,Exports,Gas,Geothermal,Hydro,Imports,Nuclear,Solar,Trans_loss,Wind,scs
2020,Argentina,0.0,0.17101563749999937,0.0,3.6567797678799255e-15,0.0,-1.4315134068334312,73.7046545039224,0.0,41.046421158,0.5578180153484814,15.38433,1.0480361859051723,-0.2422696542734486,6.244675862862069,Trade Vestas V90 2000 Single-Axis
2020,Brazil,0.0,78.50055896843178,16.127423999999998,2.18448928858639,11.409244984999992,-0.23168774013448154,50.81809272099997,0.0,450.1121774034136,1.5568001040204806,17.44434,4.951314463706896,-0.18988737849841922,5.771182727206897,Trade Vestas V90 2000 Single-Axis
2020,Chile,0.0,2.593403999999996,3.2223753364142858,4.0427217129490597e-16,0.0,-0.0010450440000000002,37.72110086536158,0.35064,21.522740232,0.005936271,0.0,7.77790864163793,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2020,Paraguay,0.0,0.0,0.0,49.10986188724996,0.0,-0.008246662500000002,0.0,0.0,23.667944692749998,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2020,Uruguay,0.0,1.8417264187368214,0.0,4.633251005081718e-16,0.0,-0.7349243745544805,0.12783455599999988,0.0,5.71909914,0.28686283765343107,0.0,0.6111554979310344,0.0,5.875972191655173,Trade Vestas V90 2000 Single-Axis
2025,Argentina,0.0,0.24874154999999298,1.804169072438958,4.5800735426482215e-15,0.0,-1.0756520366618405,87.2169770480972,0.0,47.849307558,0.9569436116785754,15.38433,3.2581621386096393,-0.19741376927500218,6.244675862862069,Trade Vestas V90 2000 Single-Axis
2025,Brazil,0.0,57.10421658331319,11.77919680752466,6.920948851031476,0.0,-1.680650364532512,57.19627434286871,0.0,515.4353226577572,0.5624708382799999,17.44434,24.356709080643103,-0.296903677477066,68.83903115490264,Trade Vestas V90 2000 Single-Axis
2025,Chile,0.0,2.9401233750526257,4.81633478486907,1.498369872621197e-15,0.0,-0.001574265,37.42211716803321,0.35064,23.073674232000002,0.004056723,0.0,15.85118871345888,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2025,Paraguay,-0.20208425999999974,0.0,0.0,44.55407170702399,0.0,-0.00784233,0.0,0.0,28.223734872976,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2025,Uruguay,0.0,2.536040426148399,0.0,0.004519380000000824,0.0,-0.29777877240806616,0.269700922,0.0,5.71909914,1.540026595643843,0.0,0.6111554979310344,0.0,5.871452811655172,Trade Vestas V90 2000 Single-Axis
2030,Argentina,0.0,0.2519189999999847,4.643269502096619,2.8012927533183076e-15,0.0,-1.4686585541453796,92.48218507060731,0.0,47.849307558,0.6319834502431222,15.38433,17.75526874092949,-0.22027684711791723,14.293728137647907,Trade Vestas V90 2000 Single-Axis
2030,Brazil,0.0,64.68666619964222,10.863778973738384,5.759687015351094,0.0,-2.5651162250537562,58.51195570619349,0.0,521.6671629736383,0.5175546684334585,17.44434,84.07587656049293,-0.3995580173926187,103.36674622457414,Trade Vestas V90 2000 Single-Axis
2030,Chile,0.0,2.58484215113087,3.24707601067565,1.4171000067841889e-15,0.0,-0.002096787,51.97357995888942,0.35064,23.073674232,0.00320595,0.0,16.019029918717848,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2030,Paraguay,0.0,0.0,0.0,37.01267850499998,0.0,-0.00780174,0.0,0.0,35.765128075,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2030,Uruguay,0.0,2.5646624999999985,0.0,0.00011713328526806264,0.0,-0.0685480579719837,0.36549949955577765,0.0,5.71909914,2.9594772954945388,0.0,1.8873376107386743,0.0,5.875972191655173,Trade Vestas V90 2000 Single-Axis
