period,load_zone,technology,twh,scenario
2020,Argentina,BNG,15.555345637499999,prm15_wcost_re18_c2p1_t1
2020,Argentina,Battery,0.0,prm15_wcost_re18_c2p1_t1
2020,Argentina,Curtailment,4.344898107966344e-15,prm15_wcost_re18_c2p1_t1
2020,Argentina,Fossil,73.7046545039224,prm15_wcost_re18_c2p1_t1
2020,Argentina,Hydro,41.046421158,prm15_wcost_re18_c2p1_t1
2020,Argentina,Solar,1.0480361859051723,prm15_wcost_re18_c2p1_t1
2020,Argentina,Trans_loss,-0.2536474542734491,prm15_wcost_re18_c2p1_t1
2020,Argentina,Wind,6.244675862862069,prm15_wcost_re18_c2p1_t1
2020,Brazil,BNG,95.94489896843179,prm15_wcost_re18_c2p1_t1
2020,Brazil,Battery,0.0,prm15_wcost_re18_c2p1_t1
2020,Brazil,Curtailment,1.8202947706000332,prm15_wcost_re18_c2p1_t1
2020,Brazil,Fossil,78.35476170599996,prm15_wcost_re18_c2p1_t1
2020,Brazil,Hydro,450.4958858224,prm15_wcost_re18_c2p1_t1
2020,Brazil,Solar,4.951314463706897,prm15_wcost_re18_c2p1_t1
2020,Brazil,Trans_loss,-0.21907871448476787,prm15_wcost_re18_c2p1_t1
2020,Brazil,Wind,5.751668826206896,prm15_wcost_re18_c2p1_t1
2020,Chile,BNG,2.9440439999999946,prm15_wcost_re18_c2p1_t1
2020,Chile,Battery,0.0,prm15_wcost_re18_c2p1_t1
2020,Chile,Curtailment,1.028410245851319e-15,prm15_wcost_re18_c2p1_t1
2020,Chile,Fossil,40.943476201775866,prm15_wcost_re18_c2p1_t1
2020,Chile,Hydro,21.522740232,prm15_wcost_re18_c2p1_t1
2020,Chile,Solar,7.777908641637931,prm15_wcost_re18_c2p1_t1
2020,Chile,Wind,9.729895828586207,prm15_wcost_re18_c2p1_t1
2020,Paraguay,BNG,0.0,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Battery,0.0,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Curtailment,49.10986188724996,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Fossil,0.0,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Hydro,23.667944692749998,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Solar,0.0,prm15_wcost_re18_c2p1_t1
2020,Paraguay,Wind,0.0,prm15_wcost_re18_c2p1_t1
2020,Uruguay,BNG,1.8417264187368216,prm15_wcost_re18_c2p1_t1
2020,Uruguay,Battery,0.0,prm15_wcost_re18_c2p1_t1
2020,Uruguay,Curtailment,0.3236253820000006,prm15_wcost_re18_c2p1_t1
2020,Uruguay,Fossil,0.12783455599999988,prm15_wcost_re18_c2p1_t1
2020,Uruguay,Hydro,5.71909914,prm15_wcost_re18_c2p1_t1
