period,load_zone,technology,twh,scenario
2020,Argentina,BNG,15.686756999999997,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Battery,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Curtailment,3.911472479245504e-15,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Fossil,71.66024026151425,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Hydro,41.046421158,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Solar,1.0480361859051723,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Trans_loss,-0.21798725812360686,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Argentina,Wind,6.244675862862069,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,BNG,96.27760164806787,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Battery,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Curtailment,2.185817562511061,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Fossil,74.99773577661178,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Hydro,450.11122943748893,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Solar,4.951314463706896,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Trans_loss,-0.1934963620865481,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Brazil,Wind,5.7708024192068965,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,BNG,3.453803999999996,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Battery,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Curtailment,1.1283334266920521e-15,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Fossil,39.95724868257586,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Hydro,21.522740232,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Solar,7.777908641637931,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Chile,Wind,9.729895828586207,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,BNG,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Battery,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Curtailment,49.10950196724997,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Fossil,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Hydro,23.66830461275,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Solar,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
2020,Paraguay,Wind,0.0,prm15_wcost_re10_c2p1_co2_cut90p_t1
